# Constructed from biom file
#OTU ID	021715M_2	021715M_5	021715M_6	022214M_7	022214M_8	022214M_9	033114M_0	033114M_4	033114M_5	042014M_3	042014M_6	042014M_7	050213M_3	050213M_4	050213M_7	052014M_2	052014M_3	052014M_4	061914M_1	061914M_2	061914M_3	071513M_1	071513M_7	071513M_9	071514M_17	071514M_18	071514M_5	081714M_2	081714M_7	081714M_8	090413M_1	090413M_2	090413M_3	091714M_11	091714M_12	091714M_4	101914M_14	101914M_16	101914M_3	102313M_13	102313M_2	102313M_3	111914M_10	111914M_11	111914M_2	taxonomy
0bf757a0c04699fca2a8f2dc4b330fd8	0.0	0.0	0.0	0.0	302.0	152.0	0.0	0.0	0.0	14.0	0.0	0.0	1753.0	2004.0	1238.0	894.0	0.0	0.0	0.0	2129.0	2854.0	1524.0	1186.0	3491.0	310.0	0.0	0.0	0.0	53.0	0.0	74.0	0.0	825.0	0.0	0.0	2938.0	20.0	279.0	1342.0	1913.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pantoea
d68857df1765354e32e14c79c5a6838a	0.0	253.0	1100.0	0.0	1006.0	225.0	205.0	360.0	0.0	391.0	381.0	0.0	1548.0	1507.0	186.0	0.0	424.0	211.0	533.0	815.0	689.0	1686.0	1783.0	858.0	867.0	355.0	220.0	394.0	2461.0	280.0	1625.0	275.0	1703.0	401.0	374.0	197.0	0.0	48.0	736.0	956.0	395.0	240.0	259.0	244.0	482.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Neisseriaceae; g__Uruburuella
20cd4aaf73199aefea7d373d063a2118	0.0	664.0	0.0	247.0	717.0	0.0	823.0	1135.0	0.0	1692.0	898.0	0.0	156.0	212.0	0.0	0.0	3219.0	1930.0	633.0	100.0	127.0	201.0	102.0	266.0	722.0	898.0	1001.0	886.0	283.0	801.0	373.0	515.0	168.0	654.0	885.0	349.0	618.0	314.0	21.0	253.0	993.0	779.0	1329.0	762.0	949.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
cfae9ea193d742496548e8f8b01774e4	0.0	594.0	580.0	0.0	389.0	0.0	741.0	545.0	0.0	645.0	943.0	0.0	559.0	726.0	203.0	0.0	677.0	1071.0	596.0	434.0	188.0	638.0	539.0	504.0	0.0	878.0	715.0	703.0	572.0	630.0	566.0	623.0	600.0	565.0	565.0	124.0	282.0	111.0	401.0	517.0	725.0	709.0	656.0	466.0	427.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia
3dcd708063a4b7b5c846c429bb242eb8	0.0	721.0	766.0	0.0	442.0	168.0	777.0	722.0	0.0	624.0	1394.0	0.0	413.0	610.0	149.0	87.0	649.0	1068.0	274.0	330.0	29.0	444.0	480.0	374.0	0.0	622.0	671.0	407.0	356.0	668.0	539.0	511.0	392.0	612.0	380.0	129.0	119.0	80.0	340.0	429.0	1036.0	712.0	626.0	697.0	595.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia
8786190db887aa4201521642ddbb21e7	0.0	336.0	9.0	0.0	62.0	0.0	223.0	1221.0	0.0	648.0	727.0	0.0	213.0	242.0	138.0	0.0	474.0	547.0	145.0	108.0	54.0	312.0	407.0	172.0	0.0	258.0	491.0	1172.0	288.0	1350.0	425.0	1212.0	503.0	1352.0	997.0	86.0	0.0	115.0	21.0	85.0	1723.0	1466.0	176.0	1052.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Acetoanaerobium; s__uncultured bacterium
c6459ad769d5a38d5c73b521aa9a2cd8	0.0	103.0	0.0	304.0	1137.0	0.0	1714.0	1737.0	218.0	3203.0	134.0	0.0	0.0	61.0	39.0	0.0	4082.0	87.0	0.0	68.0	74.0	0.0	51.0	164.0	736.0	222.0	65.0	93.0	286.0	1007.0	297.0	42.0	41.0	49.0	87.0	19.0	0.0	0.0	0.0	0.0	1355.0	61.0	84.0	1275.0	188.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
f3833dbe12a033d3e5dc08a4f8465280	9166.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	10.0	9.0	15.0	0.0	6.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
c76c9855c5b4a6b0f243dbf160fa3377	0.0	0.0	0.0	0.0	0.0	3211.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4493.0	1992.0	0.0	0.0	0.0	1445.0	1518.0	0.0	15.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2550.0	0.0	0.0	1609.0	1072.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae
1f3fe07cb238314d51860c1c1c2f2df6	0.0	7626.0	1300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	230.0	1064.0	46.0	8.0	45.0	6.0	0.0	0.0	0.0	0.0	8.0	748.0	1986.0	1144.0	296.0	0.0	0.0	0.0	972.0	78.0	392.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter
