#SampleID	original-sample-ids	BarcodeSequence	LinkerPrimerSequence	Order	Name	Days	Weeks	Months	Months_cat	Months_mitigation	Mitigation_status_num	Mitigation_status	Mitigation_status_begin_end	ASR	Concrete	Type	Type2	Input	Input_num	Collected	Year	Season	Season_num	Summer	Winter	S_Yr	Month	Halves	half_char	Thirds	Fourths	Concentration	Extracted	Ground	Extracted2	Rhodoluna	Rhodoluna_num	num_conc	neg_control	old_sample_ids	ph	ppt	Conduc	Ca	Mg	K	Na	NH4	NO3	Cl	SO4	Br	svol	ppt.1	subppt	temp_avg	hum_avg	dew_pt_avg	wind_spd_avg	pressure_avg	precip_avg	precip_sum	snow_sum	rain_sum	temp_max	wind_spd_max	wind_gust	temp_min	time_to_grind	time_to_extract	grind_to_extract	faith_pd_raw	shannon_raw	evenness_raw	observed_otus_raw	total_reads_in_sample	reads_in_negs_per_sample	percent_reads_in_neg_controls	faith_pd_decontam	shannon_decontam	evenness_decontam	observed_otus_decontam	contam_counts_per_sample	percent_contam_reads	avg_conc
052014M	(052014M_2, 052014M_3, 052014M_4)	BBB	BBB	8	(052014M.2, 052014M.3, 052014M.4)	383	55	12	12_	12_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	5/20/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	May	2	second	2	3	(Low, Medium, High)	8/23/2016	5/31/2016	August	(high, na, na)	(2, 0, 0)	(0.051, 0.081, 0.192)	FALSE	(052014M2.fastq, 052014M3.fastq, 052014M4.fastq)	5.7625	58.6105	6.7	0.13675	0.055	0.053	0.137	0.37625	0.680666667	0.2625	0.7	0.005	2787.85	58.6105	58.6105	59.28276619	69.29418222	47.64467618	9.769264544	30.02047201	0.089170984	17.21	0	161	84	28.8	46	35.6	742	826	84	(19.1325296, 27.54519684, 21.88191923)	(1.902432208, 4.093006828, 2.862488289)	(0.342497394, 0.638595284, 0.462450634)	(47, 85, 73)	(52308, 63364, 59396)	(44277, 60559, 57205)	(0.84646708, 0.955731961, 0.963111994)	(19.32676445, 26.84759253, 19.69790919)	(4.924712785, 5.79764872, 5.198703738)	(0.960117188, 0.922399, 0.925907817)	(35, 78, 49)	(50217, 61170, 57330)	(0.960025235, 0.965374661, 0.965216513)	0.108
052014U	(052014U_14, 052014U_15, 052014U_4)	BBB	BBB	8	(052014U.14, 052014U.15, 052014U.4)	383	55	12	12_	12_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	5/20/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	May	2	second	2	3	Medium	(8/25/2016, 8/25/2016, 9/8/2016)	5/31/2016	(August, August, September)	na	0	(0.096, 0.093, 0.083)	FALSE	(052014U14.fastq, 052014U15.fastq, 052014U4.fastq)	5.7625	58.6105	6.7	0.13675	0.055	0.053	0.137	0.37625	0.680666667	0.2625	0.7	0.005	2787.85	58.6105	58.6105	59.28276619	69.29418222	47.64467618	9.769264544	30.02047201	0.089170984	17.21	0	161	84	28.8	46	35.6	742	(828, 828, 842)	(86, 86, 100)	(35.5166105, 24.57544029, 45.93757601)	(4.169622714, 3.566767079, 5.891078179)	(0.637639004, 0.570872033, 0.818242539)	(93, 76, 147)	(57443, 56295, 50474)	(54432, 54788, 29596)	(0.947582821, 0.973230305, 0.586361295)	(56.09631377, 21.65096037, 37.16574996)	(5.624606496, 5.597211288, 6.333023999)	(0.799696889, 0.955484713, 0.953215093)	(131, 58, 100)	(55060, 54860, 33858)	(0.958515398, 0.974509281, 0.670800808)	0.090666667
061914M	(061914M_1, 061914M_2, 061914M_3)	BBB	BBB	9	(061914M.1, 061914M.2, 061914M.3)	413	60	13	13_	13_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	6/19/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	June	2	second	2	3	(High, High, Medium)	5/16/2016	5/12/2016	May	(na, low, na)	(0, 1, 0)	(0.326, 0.182, 0.125)	FALSE	(061914M1.fastq, 061914M2.fastq, 061914M3.fastq)	5.6525	21.844	14.5	0.09675	0.0485	0.0715	0.2125	0.736833333	1.61625	0.4095	0.975166667	0.00675	2148.125	21.844	21.844	69.19797069	72.88726043	59.08782413	7.547171946	29.98871111	0.059230769	10.01	0	122	91.9	25.3	36.8	50	693	697	4	(25.57404598, 37.19536842, 49.85982925)	(2.993989865, 4.157363623, 4.886630922)	(0.493561794, 0.619185523, 0.669895131)	(67, 105, 157)	(35994, 59212, 61560)	(30832, 44916, 36082)	(0.856587209, 0.758562454, 0.586127355)	(20.36289408, 52.1059415, 63.99337109)	(4.788584666, 6.046271591, 6.875115068)	(0.877121466, 0.872385043, 0.904630778)	(44, 122, 194)	(30832, 55586, 51715)	(0.856587209, 0.938762413, 0.840074724)	0.211
061914U	(061914U_1, 061914U_8, 061914U_9)	BBB	BBB	9	(061914U.1, 061914U.8, 061914U.9)	413	60	13	13_	13_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	6/19/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	June	2	second	2	3	(Low, Low, Medium)	(5/5/2016, 5/11/2016, 5/11/2016)	A	May	(low, na, na)	(1, 0, 0)	(0.072, 0.058, 0.121)	FALSE	(061914U1.fastq, 061914U8.fastq, 061914U9.fastq)	5.6525	21.844	14.5	0.09675	0.0485	0.0715	0.2125	0.736833333	1.61625	0.4095	0.975166667	0.00675	2148.125	21.844	21.844	69.19797069	72.88726043	59.08782413	7.547171946	29.98871111	0.059230769	10.01	0	122	91.9	25.3	36.8	50	#VALUE!	(686, 692, 692)	#VALUE!	(29.49003063, 46.89413727, 29.82496099)	(4.155386743, 6.279453489, 3.34102663)	(0.636981264, 0.829534117, 0.533132349)	(92, 190, 77)	(50167, 57081, 54520)	(47135, 31060, 53202)	(0.939561863, 0.544139031, 0.975825385)	(62.77400283, 48.4023837, 39.18211734)	(6.627862859, 6.459285137, 6.13794185)	(0.914449385, 0.877912264, 0.945483787)	(152, 164, 90)	(48351, 36294, 53489)	(0.963800905, 0.63583329, 0.981089508)	0.083666667
071513M	(071513M_1, 071513M_7, 071513M_9)	BBB	BBB	2	(071513M.1, 071513M.7, 071513M.9)	74	11	2	2_	2_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	7/15/2013	2013	Summer	3	TRUE	FALSE	Summer 2013	July	1	first	1	1	Medium	(9/8/2016, 5/16/2016, 5/16/2016)	5/12/2016	(September, May, May)	(na, low, low)	(0, 1, 1)	(0.169, 0.151, 0.145)	FALSE	(071513M1.fastq, 071513M7.fastq, 071513M9.fastq)	4.922	61.468	9.6	0.0938	0.018	0.028	0.1702	0.314333333	1.17375	0.355	0.561333333	0.005	1343.54	61.468	61.468	76.21904266	77.51716961	68.16243496	7.044340602	30.00752856	0.102439024	21	0	145	91.9	27.6	36.8	57	1032	(1151, 1036, 1036)	(119, 4, 4)	(28.84712559, 34.7398345, 34.36594353)	(3.859727156, 4.12614274, 4.227661836)	(0.610530063, 0.617085533, 0.629655532)	(80, 103, 105)	(52135, 50328, 53352)	(44039, 42592, 37802)	(0.844710847, 0.846288348, 0.708539511)	(35.83131931, 67.88179958, 46.79583353)	(5.93890345, 6.15796388, 6.546642884)	(0.895849144, 0.834973689, 0.938280097)	(99, 166, 126)	(49938, 47525, 50864)	(0.957859403, 0.944305357, 0.953366322)	0.155
071513U	(071513U_1, 071513U_7, 071513U_8)	BBB	BBB	2	(071513U.1, 071513U.7, 071513U.8)	74	11	2	2_	2_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	7/15/2013	2013	Summer	3	TRUE	FALSE	Summer 2013	July	1	first	1	1	(High, Medium, Medium)	5/24/2016	5/12/2016	May	(na, low, na)	(0, 1, 0)	(0.185, 0.113, 0.143)	FALSE	(071513U1.fastq, 071513U7.fastq, 071513U8.fastq)	4.922	61.468	9.6	0.0938	0.018	0.028	0.1702	0.314333333	1.17375	0.355	0.561333333	0.005	1343.54	61.468	61.468	76.21904266	77.51716961	68.16243496	7.044340602	30.00752856	0.102439024	21	0	145	91.9	27.6	36.8	57	1032	1044	12	(33.53490833, 25.98201783, 28.12970742)	(4.638887286, 5.027556117, 3.401614122)	(0.677655982, 0.807144399, 0.533583229)	(115, 75, 83)	(44906, 54336, 50549)	(38842, 35386, 48040)	(0.864962366, 0.651244111, 0.950364992)	(47.45556662, 19.18539423, 43.77124426)	(5.71638966, 4.61254967, 6.168818068)	(0.81148067, 0.844877268, 0.901150688)	(132, 44, 115)	(41072, 39076, 48828)	(0.914621654, 0.719154888, 0.965953827)	0.147
071514M	(071514M_17, 071514M_18, 071514M_5)	BBB	BBB	10	(071514M.17, 071514M.18, 071514M.5)	439	63	14	14_	14_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	7/15/2014	2014	Summer	3	TRUE	FALSE	Summer 2014	July	2	second	3	3	Medium	(8/25/2016, 8/25/2016, 9/8/2016)	5/31/2016	(August, August, September)	na	0	(0.093, 0.157, 0.091)	FALSE	(071514M17.fastq, 071514M18.fastq, 071514M5.fastq)	5.135	20.5105	14.8	0.13775	0.0745	0.0644	0.12225	0.355	1.5682	0.23575	0.645	0.0064	814.375	20.5105	20.5105	76.31498173	69.98294762	64.97904994	8.201587302	30.01416565	0.147083333	14.12	0	66	93	40.3	51.8	55	686	(772, 772, 786)	(86, 86, 100)	(52.22441209, 22.50023284, 31.89990134)	(6.470960451, 2.689257024, 3.262757428)	(0.832300666, 0.449913181, 0.501361461)	(219, 63, 91)	(49118, 51360, 42381)	(23077, 48220, 37814)	(0.469827762, 0.938862928, 0.892239447)	(56.11687517, 17.41230791, 33.12798776)	(6.392945919, 5.077502862, 5.278938824)	(0.832471188, 0.954072053, 0.81518779)	(205, 40, 89)	(25318, 48301, 37876)	(0.515452584, 0.940440031, 0.893702367)	0.113666667
071514U	(071514U_10, 071514U_11, 071514U_12)	BBB	BBB	10	(071514U.10, 071514U.11, 071514U.12)	439	63	14	14_	14_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	7/15/2014	2014	Summer	3	TRUE	FALSE	Summer 2014	July	2	second	3	3	(High, Medium, Medium)	5/4/2016	A	May	(na, na, low)	(0, 0, 1)	(0.433, 0.103, 0.113)	FALSE	(071514U10.fastq, 071514U11.fastq, 071514U12.fastq)	5.135	20.5105	14.8	0.13775	0.0745	0.0644	0.12225	0.355	1.5682	0.23575	0.645	0.0064	814.375	20.5105	20.5105	76.31498173	69.98294762	64.97904994	8.201587302	30.01416565	0.147083333	14.12	0	66	93	40.3	51.8	55	#VALUE!	659	#VALUE!	(17.16397832, 19.86115017, 31.67500345)	(2.138526383, 2.829573828, 4.130456044)	(0.378912274, 0.481003828, 0.619033685)	(50, 59, 102)	(59990, 47823, 56812)	(58329, 46898, 52321)	(0.972312052, 0.980657842, 0.920949799)	(17.66297856, NA, 61.64046438)	(4.762552094, NA, 6.058838145)	(0.888941832, NA, 0.825471657)	(41, NA, 162)	(58541, 47378, 53845)	(0.975845974, 0.990694854, 0.947775118)	0.216333333
081714M	(081714M_2, 081714M_7, 081714M_8)	BBB	BBB	11	(081714M.2, 081714M.7, 081714M.8)	472	68	15	15_	15_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	8/17/2014	2014	Summer	3	TRUE	FALSE	Summer 2014	August	2	second	3	3	High	(4/21/2016, 4/29/2016, 4/29/2016)	A	April	na	0	(0.782, 0.485, 0.84)	FALSE	(081714M2.fastq, 081714M7.fastq, 081714M8.fastq)	5.565	28.448	7.9	0.14475	0.02625	0.017333333	0.2335	0.24275	0.817666667	0.4185	0.5565	0.005	2351.15	28.448	28.448	73.10210136	71.11742892	62.35105068	6.97146402	30.01459827	0.106741573	9.5	0	74	89.6	26.5	33.4	55.9	#VALUE!	(613, 621, 621)	#VALUE!	(27.44190312, 33.9512395, 33.47273643)	(3.669489609, 4.258116734, 4.091091911)	(0.590952117, 0.634191395, 0.624156908)	(74, 105, 94)	(47822, 51179, 48586)	(46754, 47779, 46821)	(0.977667182, 0.933566502, 0.963672663)	(NA, 68.65796355, 56.80011906)	(NA, 6.951812017, 6.072166773)	(NA, 0.926927316, 0.876121324)	(NA, 181, 122)	(47004, 49139, 47124)	(0.982894902, 0.960139901, 0.969909027)	0.702333333
081714U	(081714U_1, 081714U_5, 081714U_6)	BBB	BBB	11	(081714U.1, 081714U.5, 081714U.6)	472	68	15	15_	15_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	8/17/2014	2014	Summer	3	TRUE	FALSE	Summer 2014	August	2	second	3	3	(Medium, High, High)	(4/21/2016, 4/29/2016, 4/29/2016)	A	April	(low, high, low)	(1, 2, 1)	(0.134, 0.438, 0.642)	FALSE	(081714U1.fastq, 081714U5.fastq, 081714U6.fastq)	5.565	28.448	7.9	0.14475	0.02625	0.017333333	0.2335	0.24275	0.817666667	0.4185	0.5565	0.005	2351.15	28.448	28.448	73.10210136	71.11742892	62.35105068	6.97146402	30.01459827	0.106741573	9.5	0	74	89.6	26.5	33.4	55.9	#VALUE!	(613, 621, 621)	#VALUE!	(32.37708179, 33.92043647, 28.44300915)	(4.144037803, 3.792321367, 2.759711037)	(0.626488221, 0.57723055, 0.437786647)	(98, 95, 79)	(57487, 51786, 52298)	(38387, 34383, 47347)	(0.66775097, 0.663943923, 0.905330988)	(49.43306147, 34.88272407, 28.98760897)	(5.80649114, 5.951173473, 4.026402677)	(0.822999106, 0.944064159, 0.676229413)	(133, 79, 62)	(53352, 48658, 47503)	(0.928070694, 0.939597575, 0.908313893)	0.404666667
090413M	(090413M_1, 090413M_2, 090413M_3)	BBB	BBB	3	(090413M.1, 090413M.2, 090413M.3)	125	18	4	4_	4_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	9/4/2013	2013	Summer	3	TRUE	FALSE	Summer 2013	September	1	first	1	1	(High, High, Medium)	6/16/2016	6/13/2016	June	na	0	(0.264, 0.212, 0.17)	FALSE	(090413M1.fastq, 090413M2.fastq, 090413M3.fastq)	4.918	20.87033333	12.26666667	0.2826	0.06	0.025333333	0.0464	0.734833333	1.172833333	0.1412	1.509166667	0.007333333	932.54	20.87033333	20.87033333	73.89358407	76.62942478	65.49435841	6.170464602	30.01609513	0.090434783	12.48	0	82	88	29.9	44.9	55	1013	1016	3	(31.17281317, 30.60333409, 34.34034917)	(3.68402, 3.884075004, 3.797477051)	(0.574784724, 0.595391755, 0.582117113)	(85, 92, 92)	(45265, 48246, 49915)	(42785, 45156, 44894)	(0.945211532, 0.93595324, 0.899408995)	(40.04885133, 45.51925935, 56.85487896)	(6.049031897, 5.604863322, 6.348811385)	(0.899093849, 0.81580288, 0.908441527)	(106, 117, 127)	(43739, 46021, 48330)	(0.966287419, 0.953882187, 0.968246018)	0.215333333
090413U	(090413U_17, 090413U_18, 090413U_19)	BBB	BBB	3	(090413U.17, 090413U.18, 090413U.19)	125	18	4	4_	4_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	9/4/2013	2013	Summer	3	TRUE	FALSE	Summer 2013	September	1	first	1	1	(Medium, Medium, High)	5/4/2016	A	May	(na, high, na)	(0, 2, 0)	(0.104, 0.106, 0.195)	FALSE	(090413U17.fastq, 090413U18.fastq, 090413U19.fastq)	4.918	20.87033333	12.26666667	0.2826	0.06	0.025333333	0.0464	0.734833333	1.172833333	0.1412	1.509166667	0.007333333	932.54	20.87033333	20.87033333	73.89358407	76.62942478	65.49435841	6.170464602	30.01609513	0.090434783	12.48	0	82	88	29.9	44.9	55	#VALUE!	973	#VALUE!	(26.7069394, 27.6278353, 26.40594505)	(4.145966258, 2.429497262, 3.74943898)	(0.655807247, 0.397722442, 0.600109232)	(80, 69, 76)	(43251, 62144, 58660)	(31704, 50014, 56621)	(0.733023514, 0.804808187, 0.965240368)	(25.57001484, 31.6978574, 35.18734357)	(5.220496681, 5.413911119, 5.615726293)	(0.934741582, 0.88034695, 0.876171597)	(48, 71, 85)	(40266, 59299, 56922)	(0.930984255, 0.954219233, 0.970371633)	0.135
091714M	(091714M_11, 091714M_12, 091714M_4)	BBB	BBB	12	(091714M.11, 091714M.12, 091714M.4)	503	72	16	16_	16_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	9/17/2014	2014	Summer	3	TRUE	FALSE	Summer 2014	September	2	second	3	4	(Medium, Low, Medium)	(5/3/2016, 5/3/2016, 4/21/2016)	A	(May, May, April)	(na, na, high)	(0, 0, 2)	(0.093, 0.074, 0.112)	FALSE	(091714M11.fastq, 091714M12.fastq, 091714M4.fastq)	5.485	33.9852	13.48571429	0.126	0.03	0.040285714	0.53925	0.4166	1.173714286	0.95975	0.672	0.005428571	940.75	33.9852	33.9852	72.49245283	74.53419811	63.36426887	7.07112426	30.06512972	0.086049383	6.97	0	48	91.9	24.2	35.7	48	#VALUE!	(594, 594, 582)	#VALUE!	(27.61253629, 29.1501662, 27.47859067)	(3.773416558, 3.455226787, 3.622476041)	(0.58873247, 0.55135543, 0.56669214)	(85, 77, 84)	(44926, 42814, 51357)	(42485, 41831, 32689)	(0.945666207, 0.97704022, 0.636505248)	(40.09795321, NA, 22.15719175)	(4.271459511, NA, 5.483371729)	(0.67002872, NA, 0.936051471)	(83, NA, 58)	(42705, 42097, 48733)	(0.950563148, 0.983253141, 0.948906673)	0.093
091714U	(091714U_10, 091714U_13, 091714U_9)	BBB	BBB	12	(091714U.10, 091714U.13, 091714U.9)	503	72	16	16_	16_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	9/17/2014	2014	Summer	3	TRUE	FALSE	Summer 2014	September	2	second	3	4	(High, Medium, High)	(4/29/2016, 5/3/2016, 4/29/2016)	A	(April, May, April)	na	0	(0.595, 0.108, 1.04)	FALSE	(091714U10.fastq, 091714U13.fastq, 091714U9.fastq)	5.485	33.9852	13.48571429	0.126	0.03	0.040285714	0.53925	0.4166	1.173714286	0.95975	0.672	0.005428571	940.75	33.9852	33.9852	72.49245283	74.53419811	63.36426887	7.07112426	30.06512972	0.086049383	6.97	0	48	91.9	24.2	35.7	48	#VALUE!	(590, 594, 590)	#VALUE!	(33.45331742, 34.15780404, 25.08448591)	(3.799197673, 4.105280701, 2.811068247)	(0.582380868, 0.619257786, 0.458629213)	(92, 99, 70)	(45617, 60342, 53327)	(39957, 31878, 52183)	(0.87592345, 0.528288754, 0.978547453)	(35.09900628, 46.87236765, NA)	(5.304274482, 5.841723443, NA)	(0.811155477, 0.8631153, NA)	(93, 109, NA)	(40055, 55110, 52346)	(0.878071771, 0.913294223, 0.981604065)	0.581
101914M	(101914M_14, 101914M_16, 101914M_3)	BBB	BBB	13	(101914M.14, 101914M.16, 101914M.3)	535	77	17	17_	17_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	(Low, Normal, Normal)	(1, 2, 2)	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	(High, High, Medium)	(5/3/2016, 5/3/2016, 7/25/2016)	A	(May, May, July)	(na, na, high)	(0, 0, 2)	(0.215, 0.286, 0.081)	FALSE	(101914M14.fastq, 101914M16.fastq, 101914M3.fastq)	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	#VALUE!	(562, 562, 645)	#VALUE!	(19.93534586, 30.62509172, 23.19621971)	(4.87001989, 3.902485232, 3.194669999)	(0.763919964, 0.59129345, 0.530467434)	(83, 97, 65)	(31518, 59492, 53398)	(18490, 37595, 44601)	(0.586648899, 0.631933705, 0.835256002)	(14.1599482, 28.49032013, 19.42023159)	(5.327312083, 4.735231395, 5.121724118)	(0.898254598, 0.734948459, 0.927250234)	(61, 87, 46)	(18510, 39919, 51873)	(0.587283457, 0.670997781, 0.971440878)	0.194
101914U	(101914U_1, 101914U_2, 101914U_8)	BBB	BBB	13	(101914U.1, 101914U.2, 101914U.8)	535	77	17	17_	17_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	(Low, Normal, Low)	(1, 2, 1)	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Low	(7/25/2016, 7/25/2016, 5/26/2016)	5/19/2016	(July, July, May)	na	0	(0.073, 0.068, 0.05)	FALSE	(101914U1.fastq, 101914U2.fastq, 101914U8.fastq)	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	578	(645, 645, 585)	(67, 67, 7)	(14.97454083, 28.20846809, 18.35047865)	(3.184445213, 3.828820286, 4.194628412)	(0.611282027, 0.600595546, 0.799292369)	(37, 83, 38)	(10205, 54549, 22073)	(8857, 52732, 10991)	(0.867907888, 0.966690498, 0.497938658)	(7.415992386, 35.1086441, 12.43961193)	(3.696942329, 5.893235711, 3.706032899)	(0.924235582, 0.921924761, 0.808301681)	(16, 84, 24)	(8870, 53043, 11581)	(0.869181774, 0.972391795, 0.524668147)	0.063666667
102313M	(102313M_13, 102313M_2, 102313M_3)	BBB	BBB	4	(102313M.13, 102313M.2, 102313M.3)	174	25	5	5_	5_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	(Low, Medium, Medium)	(8/25/2016, 9/8/2016, 9/8/2016)	5/31/2016	(August, September, September)	(high, na, na)	(2, 0, 0)	(0.1, 0.13, 0.127)	FALSE	(102313M13.fastq, 102313M2.fastq, 102313M3.fastq)	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	(1037, 1051, 1051)	(86, 100, 100)	(29.06575332, 31.35562006, 24.07812806)	(3.81242506, 3.922235144, 3.097551001)	(0.596407345, 0.610344468, 0.528774505)	(84, 86, 58)	(54377, 55798, 45017)	(42290, 54281, 44172)	(0.777718521, 0.972812646, 0.981229313)	(35.24935648, 43.47104727, NA)	(6.079054388, 6.013252698, NA)	(0.938743766, 0.91741112, NA)	(89, 94, NA)	(52180, 54737, 44447)	(0.959596888, 0.980984982, 0.987338117)	0.119
102313U	(102313U_11, 102313U_12, 102313U_3)	BBB	BBB	4	(102313U.11, 102313U.12, 102313U.3)	174	25	5	5_	5_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	(Normal, Normal, Low)	(2, 2, 1)	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	(6/2/2016, 6/2/2016, 7/27/2016)	5/31/2016	(June, June, July)	na	0	(0.09, 0.078, 0.158)	FALSE	(102313U11.fastq, 102313U12.fastq, 102313U3.fastq)	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	(953, 953, 1008)	(2, 2, 57)	(40.38320111, 27.75985543, 35.46863494)	(3.9297021, 2.917513426, 4.395998514)	(0.577272986, 0.458905161, 0.65744383)	(112, 82, 103)	(48665, 54453, 54921)	(45166, 52598, 28961)	(0.928100277, 0.965933925, 0.527321061)	(77.9694645, 42.39490695, 12.94727023)	(7.068207411, 6.158107136, 4.443732993)	(0.917072539, 0.924889086, 0.924361331)	(209, 101, 28)	(45590, 52951, 52792)	(0.936812905, 0.972416579, 0.961235229)	0.108666667
111914M	(111914M_10, 111914M_11, 111914M_2)	BBB	BBB	14	(111914M.10, 111914M.11, 111914M.2)	566	81	18	18_	18_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	(Low, Medium, High)	(6/22/2016, 6/22/2016, 7/27/2016)	5/12/2016	(June, June, July)	na	0	(0.053, 0.095, 0.247)	FALSE	(111914M10.fastq, 111914M11.fastq, 111914M2.fastq)	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	540	(581, 581, 616)	(41, 41, 76)	(20.52475211, 33.16639805, 17.92933278)	(3.452340628, 4.015115829, 3.234032041)	(0.565167685, 0.609740121, 0.559389521)	(69, 96, 55)	(44623, 41044, 29020)	(40513, 39814, 25730)	(0.907895032, 0.970032161, 0.88662991)	(17.81981041, 38.46120139, 12.89233147)	(3.612571971, 6.05335769, 4.606547205)	(0.665756673, 0.937134728, 0.958229064)	(43, 88, 28)	(40633, 40044, 25730)	(0.910584228, 0.975635903, 0.88662991)	0.131666667
111914U	(111914U_20, 111914U_8, 111914U_9)	BBB	BBB	14	(111914U.20, 111914U.8, 111914U.9)	566	81	18	18_	18_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	(Medium, Low, Low)	(9/1/2016, 6/22/2016, 6/22/2016)	5/31/2016	(September, June, June)	na	0	(0.089, 0.05, 0.05)	FALSE	(111914U20.fastq, 111914U8.fastq, 111914U9.fastq)	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	559	(652, 581, 581)	(93, 22, 22)	(53.43863861, 17.84278383, 22.34874325)	(6.706041638, 2.35024952, 4.304624178)	(0.874044561, 0.408391914, 0.666409126)	(204, 54, 88)	(44942, 56269, 35381)	(9476, 54729, 12807)	(0.210849539, 0.972631467, 0.361973941)	(54.63467593, 13.87882442, 21.46495457)	(6.541283817, 4.425118367, 5.068399437)	(0.875002283, 0.910896599, 0.773259704)	(178, 29, 94)	(11017, 54849, 22390)	(0.245138178, 0.97476408, 0.632825528)	0.063
