#SampleID	BarcodeSequence	LinkerPrimerSequence	Order	Name	Days	Weeks	Months	Months_cat	Months_mitigation	Mitigation_status_num	Mitigation_status	Mitigation_status_begin_end	ASR	Concrete	Type	Type2	Input	Input_num	Collected	Year	Season	Season_num	Summer	Winter	S_Yr	Month	Halves	half_char	Thirds	Fourths	Concentration	Extracted	Ground	Extracted2	Rhodoluna	Rhodoluna_num	num_conc	neg_control	old_sample_ids	Description	ph	ppt	Conduc	Ca	Mg	K	Na	NH4	NO3	Cl	SO4	Br	svol	ppt.1	subppt	temp_avg	hum_avg	dew_pt_avg	wind_spd_avg	pressure_avg	precip_avg	precip_sum	snow_sum	rain_sum	temp_max	wind_spd_max	wind_gust	temp_min	time_to_grind	time_to_extract	grind_to_extract	faith_pd_raw	shannon_raw	evenness_raw	observed_otus_raw	total_reads_in_sample	reads_in_negs_per_sample	percent_reads_in_neg_controls	faith_pd_decontam	shannon_decontam	evenness_decontam	observed_otus_decontam	contam_counts_per_sample	percent_contam_reads	avg_conc	k__Bacteria;f__NA	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Calditrichaeota	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Deinococcus-Thermus	k__Bacteria;p__Dependentiae	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__Entotheonellaeota	k__Bacteria;p__Epsilonbacteraeota	k__Bacteria;p__FBP	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Halanaerobiaeota	k__Bacteria;p__Hydrogenedentes	k__Bacteria;p__Kiritimatiellaeota	k__Bacteria;p__Latescibacteria	k__Bacteria;p__Nitrospirae	k__Bacteria;p__Omnitrophicaeota	k__Bacteria;p__Patescibacteria	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Rokubacteria	k__Bacteria;p__Spirochaetes	k__Bacteria;p__Synergistetes	k__Bacteria;p__Tenericutes	k__Bacteria;p__Thermotogae	k__Bacteria;p__Verrucomicrobia	k__Unassigned;f__NA
101914U_2	BBB	BBB	13	101914U.2	535	77	17	17_	17_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Low	7/25/2016	5/19/2016	July	na	0	0.068	FALSE	101914U2.fastq	101914U	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	578	645	67	28.20846809	3.828820286	0.600595546	83	54549	52732	0.966690498	35.1086441	5.893235711	0.921924761	84	53043	0.972391795	0.063666667	0.0	0.007531380753138075	0.046025104602510455	0.0	0.0	0.029288702928870293	0.0	0.0	0.0	0.03682008368200837	0.0	0.0	0.0	0.0	0.0100418410041841	0.0	0.0	0.2301255230125523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010878661087866108	0.6292887029288703	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101914U_8	BBB	BBB	13	101914U.8	535	77	17	17_	17_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Low	1	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Low	5/26/2016	5/19/2016	May	na	0	0.05	FALSE	101914U8.fastq	101914U	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	578	585	7	18.35047865	4.194628412	0.799292369	38	22073	10991	0.497938658	12.43961193	3.706032899	0.808301681	24	11581	0.524668147	0.063666667	0.0	0.04470404984423676	0.20576323987538941	0.0	0.0	0.03582554517133956	0.0	0.0	0.0	0.07165109034267912	0.0	0.0	0.0	0.0	0.05498442367601246	0.0	0.0	0.22959501557632397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35747663551401865	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111914U_20	BBB	BBB	14	111914U.20	566	81	18	18_	18_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Medium	9/1/2016	5/31/2016	September	na	0	0.089	FALSE	111914U20.fastq	111914U	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	559	652	93	53.43863861	6.706041638	0.874044561	204	44942	9476	0.210849539	54.63467593	6.541283817	0.875002283	178	11017	0.245138178	0.063	0.0	0.02180101135260038	0.18351696192357927	0.0	0.0	0.07427748568366767	0.0	0.013529352667358762	0.015605639462844512	0.06369512072603062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27011821439335604	0.0	0.012926559726733866	0.0	0.0	0.0	0.0	0.0	0.0	0.0023776832657981983	0.0070995613006932115	0.33505240949733806	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111914U_8	BBB	BBB	14	111914U.8	566	81	18	18_	18_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Low	6/22/2016	5/31/2016	June	na	0	0.05	FALSE	111914U8.fastq	111914U	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	559	581	22	17.84278383	2.35024952	0.408391914	54	56269	54729	0.972631467	13.87882442	4.425118367	0.910896599	29	54849	0.97476408	0.063	0.0	0.0	0.20644599303135888	0.0	0.0	0.1297909407665505	0.0	0.0	0.0	0.0	0.02613240418118467	0.0	0.0	0.0	0.0	0.0	0.0	0.1393728222996516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49825783972125437	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111914U_9	BBB	BBB	14	111914U.9	566	81	18	18_	18_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Low	6/22/2016	5/31/2016	June	na	0	0.05	FALSE	111914U9.fastq	111914U	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	559	581	22	22.34874325	4.304624178	0.666409126	88	35381	12807	0.361973941	21.46495457	5.068399437	0.773259704	94	22390	0.632825528	0.063	0.0007877116975187081	0.0	0.08704214257581724	0.0	0.0	0.00590783773139031	0.0	0.0	0.0	0.007483261126427727	0.004332414336352895	0.0	0.0	0.0	0.0	0.0	0.0	0.09058684521465143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8038597873178421	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102313U_11	BBB	BBB	4	102313U.11	174	25	5	5_	5_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	6/2/2016	5/31/2016	June	na	0	0.09	FALSE	102313U11.fastq	102313U	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	953	2	40.38320111	3.9297021	0.577272986	112	48665	45166	0.928100277	77.9694645	7.068207411	0.917072539	209	45590	0.936812905	0.108666667	0.0	0.018482864844050827	0.16365036580670006	0.0	0.0	0.08509819021948405	0.0	0.0	0.0	0.18636888717751257	0.06777050442818637	0.0	0.0	0.0	0.004235656526761648	0.0061609549480169425	0.0	0.16288024643819796	0.0019252984212552945	0.0034655371582595304	0.0	0.0	0.0	0.0023103581055063534	0.0	0.0	0.0026954177897574125	0.014632268001540239	0.27069695802849475	0.0	0.0	0.0019252984212552945	0.0011551790527531767	0.0	0.006546014632268001	0.0
102313U_12	BBB	BBB	4	102313U.12	174	25	5	5_	5_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	6/2/2016	5/31/2016	June	na	0	0.078	FALSE	102313U12.fastq	102313U	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	953	2	27.75985543	2.917513426	0.458905161	82	54453	52598	0.965933925	42.39490695	6.158107136	0.924889086	101	52951	0.972416579	0.108666667	0.0	0.013950073421439061	0.08076358296622614	0.0	0.0	0.06901615271659325	0.0	0.00881057268722467	0.005139500734214391	0.046255506607929514	0.013950073421439061	0.0	0.0	0.0	0.013215859030837005	0.005139500734214391	0.0	0.18575624082232015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005139500734214391	0.5528634361233481	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102313U_3	BBB	BBB	4	102313U.3	174	25	5	5_	5_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Low	1	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	7/27/2016	5/31/2016	July	na	0	0.158	FALSE	102313U3.fastq	102313U	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	1008	57	35.46863494	4.395998514	0.65744383	103	54921	28961	0.527321061	12.94727023	4.443732993	0.924361331	28	52792	0.961235229	0.108666667	0.0	0.022758218245477534	0.12487842832133826	0.0	0.0	0.07274849251118459	0.0	0.0	0.0	0.06885819879400895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19023536276988914	0.015172145496985022	0.019451468585878234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013421513324255981	0.46391752577319584	0.0	0.0	0.0	0.0	0.0	0.008558646177786422	0.0
FlyAsh_12	BBB	BBB	NA	FlyAsh.12	1127	NA	0	0_	0	NA	precursor	NA	NA	Precursor	FlyAsh	FlyAsh	Normal	2	6/2/2016	2016	NA	NA	FALSE	FALSE	NA	NA	NA	NA	NA	NA	Low	6/20/2016	X	June	na	0	0.051	FALSE	FlyAsh12.fastq	FlyAsh	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.12467047	7.310637502	0.865462942	349	51541	19099	0.370559361	103.9651038	8.008822715	0.920875316	415	20730	0.402204071	0.088	0.0003109023075860163	0.005699875639076966	0.12736631200773804	0.0002418129059002349	0.0	0.072371148265856	0.0	0.0014163327345585188	0.006528948459306342	0.013852425037999173	0.021901340334392706	0.002003592648887661	0.0	0.0	0.0	0.0011399751278153931	0.0003799917092717977	0.14028603012297894	0.0	0.0026253972640596927	0.00041453641011468843	0.0	0.0	0.0	0.0009672516236009396	0.0	0.017168716318916675	0.005008981622219153	0.5770001381788024	0.0	0.0	0.0	0.0	0.0	0.003316291280917507	0.0
FlyAsh_8	BBB	BBB	NA	FlyAsh.8	1128	NA	0	0_	0	NA	precursor	NA	NA	Precursor	FlyAsh	FlyAsh	Normal	2	6/3/2016	2016	NA	NA	FALSE	FALSE	NA	NA	NA	NA	NA	NA	Medium	7/28/2016	X	July	na	0	0.105	FALSE	FlyAsh8.fastq	FlyAsh	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.62946371	4.020945221	0.597650529	106	38387	35675	0.929351082	76.58405162	6.725478985	0.901607432	176	36091	0.940188085	0.088	0.0	0.0029225523623964927	0.22795908426692643	0.0	0.0	0.035557720409157334	0.0	0.0014612761811982464	0.011203117389186557	0.07696054554310766	0.057476863127131024	0.0014612761811982464	0.001948368241597662	0.0	0.0	0.0	0.0	0.1436921578178276	0.0	0.001948368241597662	0.0	0.0	0.0	0.0	0.00438382854359474	0.0	0.022893326838772526	0.020944958597174865	0.381393083292742	0.0	0.0	0.0014612761811982464	0.0	0.0063321967851924016	0.0	0.0
